model,step,epoch,metric,value
babyA-v1,10,0.03683241252302026,train_loss,6.8226
babyA-v1,20,0.07366482504604052,train_loss,5.9447
babyA-v1,30,0.11049723756906077,train_loss,5.5606
babyA-v1,40,0.14732965009208104,train_loss,5.2827
babyA-v1,50,0.1841620626151013,train_loss,5.0342
babyA-v1,60,0.22099447513812154,train_loss,4.792
babyA-v1,70,0.2578268876611418,train_loss,4.6217
babyA-v1,80,0.2946593001841621,train_loss,4.4857
babyA-v1,90,0.3314917127071823,train_loss,4.3516
babyA-v1,100,0.3683241252302026,train_loss,4.2283
babyA-v1,110,0.40515653775322286,train_loss,4.1077
babyA-v1,120,0.4419889502762431,train_loss,4.0493
babyA-v1,130,0.47882136279926335,train_loss,3.9501
babyA-v1,140,0.5156537753222836,train_loss,3.9677
babyA-v1,150,0.5524861878453039,train_loss,3.7992
babyA-v1,160,0.5893186003683242,train_loss,3.7898
babyA-v1,170,0.6261510128913443,train_loss,3.7245
babyA-v1,180,0.6629834254143646,train_loss,3.7028
babyA-v1,190,0.6998158379373849,train_loss,3.6286
babyA-v1,200,0.7366482504604052,train_loss,3.553
babyA-v1,210,0.7734806629834254,train_loss,3.4706
babyA-v1,220,0.8103130755064457,train_loss,3.4502
babyA-v1,230,0.8471454880294659,train_loss,3.4645
babyA-v1,240,0.8839779005524862,train_loss,3.3942
babyA-v1,250,0.9208103130755064,train_loss,3.2764
babyA-v1,260,0.9576427255985267,train_loss,3.2156
babyA-v1,270,0.994475138121547,train_loss,3.2623
babyA-v1,272,1.0,eval_loss,3.1988492012023926
babyA-v1,280,1.0294659300184161,train_loss,3.2435
babyA-v1,290,1.0662983425414365,train_loss,3.1316
babyA-v1,300,1.1031307550644567,train_loss,3.1953
babyA-v1,310,1.139963167587477,train_loss,3.0943
babyA-v1,320,1.1767955801104972,train_loss,3.0905
babyA-v1,330,1.2136279926335174,train_loss,3.0118
babyA-v1,340,1.2504604051565378,train_loss,3.0109
babyA-v1,350,1.287292817679558,train_loss,2.9695
babyA-v1,360,1.3241252302025783,train_loss,2.95
babyA-v1,370,1.3609576427255985,train_loss,2.9389
babyA-v1,380,1.3977900552486187,train_loss,2.8643
babyA-v1,390,1.434622467771639,train_loss,2.8479
babyA-v1,400,1.4714548802946594,train_loss,2.8639
babyA-v1,410,1.5082872928176796,train_loss,2.7333
babyA-v1,420,1.5451197053406998,train_loss,2.7443
babyA-v1,430,1.58195211786372,train_loss,2.7935
babyA-v1,440,1.6187845303867403,train_loss,2.6814
babyA-v1,450,1.6556169429097607,train_loss,2.7786
babyA-v1,460,1.6924493554327809,train_loss,2.718
babyA-v1,470,1.729281767955801,train_loss,2.6124
babyA-v1,480,1.7661141804788214,train_loss,2.685
babyA-v1,490,1.8029465930018416,train_loss,2.6489
babyA-v1,500,1.839779005524862,train_loss,2.6336
babyA-v1,510,1.8766114180478821,train_loss,2.6688
babyA-v1,520,1.9134438305709023,train_loss,2.596
babyA-v1,530,1.9502762430939227,train_loss,2.5641
babyA-v1,540,1.987108655616943,train_loss,2.6507
babyA-v1,544,2.0,eval_loss,2.5357279777526855
babyA-v1,550,2.022099447513812,train_loss,2.5942
babyA-v1,560,2.0589318600368323,train_loss,2.4802
babyA-v1,570,2.095764272559853,train_loss,2.6024
babyA-v1,580,2.132596685082873,train_loss,2.5198
babyA-v1,590,2.169429097605893,train_loss,2.4761
babyA-v1,600,2.2062615101289134,train_loss,2.5073
babyA-v1,610,2.2430939226519335,train_loss,2.5513
babyA-v1,620,2.279926335174954,train_loss,2.4843
babyA-v1,630,2.3167587476979743,train_loss,2.4282
babyA-v1,640,2.3535911602209945,train_loss,2.3806
babyA-v1,650,2.3904235727440146,train_loss,2.5158
babyA-v1,660,2.427255985267035,train_loss,2.42
babyA-v1,670,2.4640883977900554,train_loss,2.4378
babyA-v1,680,2.5009208103130756,train_loss,2.4062
babyA-v1,690,2.5377532228360957,train_loss,2.3632
babyA-v1,700,2.574585635359116,train_loss,2.3926
babyA-v1,710,2.611418047882136,train_loss,2.5071
